"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"14","서울특별시 성동구 성수동2가","299-80","0299","0080","오페라하우스","44.2800","27.0843","202512","31","56,500","3","개인","개인","2015","광나루로4길 4","-","중개거래","서울 성동구","26.03.23"
"15","서울특별시 광진구 능동","239-42","0239","0042","로뎀하우스","12.2800","10.4800","202512","31","16,500","3","개인","개인","2009","천호대로116길 30","-","중개거래","서울 광진구","26.04.27"
"16","서울특별시 동대문구 전농동","126-27","0126","0027","더가온102동","29.9100","22.2000","202512","31","65,500","2","개인","법인","2019","전농로31길 52","-","중개거래","서울 도봉구","26.02.24"
"17","서울특별시 용산구 청파동1가","148-2","0148","0002","(148-2)","29.9400","17.9208","202512","31","69,640","4","개인","개인","2021","청파로67길 4-8","-","중개거래","서울 용산구","26.02.25"
"18","서울특별시 용산구 신계동","7-3","0007","0003","DK밸리뷰시티","28.8600","20.0000","202512","31","68,000","4","개인","개인","2019","새창로45길 71","-","중개거래","서울 용산구","26.03.13"
"19","서울특별시 동대문구 장안동","363-3","0363","0003","장수(363-3)","35.5100","24.8210","202512","31","11,000","1","개인","개인","1986","장한로26가길 110","-","중개거래","서울 동대문구","26.01.16"
"20","서울특별시 동대문구 전농동","130-128","0130","0128","(130-128)","43.1400","26.4800","202512","31","52,000","2","개인","개인","2015","서울시립대로28길 22","-","중개거래","서울 동대문구","26.05.11"
"21","서울특별시 성북구 종암동","97-1","0097","0001","벨류어블","28.5200","19.5400","202512","31","27,800","5","개인","개인","2020","종암로24가길 4","-","중개거래","서울 성북구, 서울 중랑구","26.02.26"
"22","서울특별시 중구 장충동2가","193-94","0193","0094","장충동빌리지(193-94)","59.9000","22.0800","202512","31","28,500","-1","개인","개인","1997","동호로25가길 15","-","중개거래","서울 마포구","26.03.05"
"23","서울특별시 중랑구 면목동","612-5","0612","0005","유진뜨레지움2차","24.3400","8.7500","202512","31","34,000","5","개인","법인","2024","용마산로51길 38-4","-","직거래","-","26.03.03"
"24","서울특별시 광진구 구의동","21-30","0021","0030","영진하이츠","42.4200","26.2000","202512","31","25,800","2","개인","개인","2002","영화사로16길 34-10","20260213","중개거래","서울 광진구","-"
"25","서울특별시 성북구 장위동","233-103","0233","0103","해드림","29.9200","20.8510","202512","31","60,000","5","개인","개인","2020","장위로28길 32","-","중개거래","서울 성북구","26.03.17"
"26","서울특별시 노원구 중계동","58-36","0058","0036","청운그랑빌","78.4000","49.8300","202512","31","36,500","2","개인","개인","2008","중계로10길 19","-","중개거래","서울 노원구","26.05.04"
"27","서울특별시 은평구 불광동","171-36","0171","0036","진양그린빌라","39.6900","17.3100","202512","31","17,000","1","개인","개인","1994","불광로20길 10","-","중개거래","서울 은평구","26.02.27"
"28","서울특별시 마포구 합정동","438-13","0438","0013","대명피렌체3","29.8400","19.0000","202512","31","31,500","3","개인","개인","2010","포은로 35-4","-","중개거래","서울 마포구, 서울 서초구","-"
"29","서울특별시 은평구 신사동","26-30","0026","0030","다베로(26-30)","26.3800","18.9100","202512","31","32,800","3","개인","법인","2023","은평로2길 5-11","20260121","직거래","-","-"
"30","서울특별시 서대문구 옥천동","124-1","0124","0001","(124-1)","50.7200","26.0392","202512","31","20,000","1","개인","개인","1996","독립문로4길 5-8","-","중개거래","서울 성북구","26.04.06"
"31","서울특별시 은평구 응암동","588-38","0588","0038","거성리젠시(B동)","66.4900","38.9300","202512","31","35,500","4","개인","개인","2013","가좌로9길 12-3","-","중개거래","서울 은평구","26.03.20"
"32","서울특별시 강북구 수유동","693-7","0693","0007","대성빌라트(693-7)","50.7200","21.7100","202512","31","18,340","1","개인","개인","2003","노해로32길 19-21","-","직거래","-","26.01.13"
"33","서울특별시 양천구 신정동","915-9","0915","0009","양천빌라","58.1800","42.5100","202512","31","28,000","3","개인","개인","2000","은행정로15길 20-1","-","중개거래","서울 양천구","26.01.12"
"34","서울특별시 은평구 역촌동","8-78","0008","0078","우성케이씨빌(8-78)","54.6100","24.7000","202512","31","20,500","4","개인","개인","2002","연서로10길 3-16","-","중개거래","서울 은평구","26.03.20"
"35","서울특별시 은평구 불광동","382-10","0382","0010","중앙하이츠빌라","44.1600","18.9900","202512","31","30,000","3","개인","개인","2001","통일로88길 21-2","-","중개거래","서울 은평구","26.01.07"
"36","서울특별시 강북구 수유동","296-17","0296","0017","부성빌라(296-17)","47.2600","26.0900","202512","31","10,800","-1","개인","개인","1995","인수봉로72길 31-29","-","중개거래","서울 강북구","26.01.08"
"37","서울특별시 강북구 수유동","252-51","0252","0051","삼우아트빌라7차","42.7000","29.1200","202512","31","12,500","1","개인","개인","1994","노해로25길 34","-","중개거래","서울 강북구","26.01.06"
"38","서울특별시 강북구 수유동","536-3","0536","0003","행운빌라","65.4000","35.0000","202512","31","22,500","5","개인","개인","2002","4.19로13길 36","-","중개거래","서울 강북구","26.01.09"
"39","서울특별시 마포구 성산동","240-18","0240","0018","한강지오빌","42.9000","26.5500","202512","31","35,400","2","개인","개인","2015","성미산로 56-7","-","중개거래","서울 마포구","26.03.23"
"40","서울특별시 마포구 성산동","81-10","0081","0010","한강타운A동","59.5400","34.4400","202512","31","41,000","3","개인","개인","2008","성산로4길 72","-","중개거래","서울 마포구, 서울 성동구","26.03.31"
"41","서울특별시 도봉구 쌍문동","315-22","0315","0022","신건영빌리지다동","32.9100","13.9800","202512","31","13,900","3","개인","개인","1994","노해로46길 61","-","중개거래","서울 강북구","26.03.10"
"42","서울특별시 노원구 상계동","1386-5","1386","0005","밀레니엄하우스","72.9800","37.7255","202512","31","34,000","1","개인","개인","2000","상계로35가길 18-24","-","중개거래","서울 노원구","-"
"43","서울특별시 강북구 수유동","518-142","0518","0142","(518-142)","27.1500","18.7000","202512","31","7,500","1","개인","개인","2005","인수봉로55길 39-5","-","중개거래","서울 구로구","26.01.07"
"44","서울특별시 은평구 녹번동","75-32","0075","0032","한주빌라(75-32)","51.5800","25.9800","202512","31","14,400","3","개인","개인","1995","은평로21길 29","-","직거래","-","26.01.07"
"45","서울특별시 마포구 망원동","476-27","0476","0027","신성빌라","37.3200","19.1700","202512","31","28,000","2","개인","개인","1991","월드컵로29길 26","-","중개거래","서울 마포구","26.02.26"
"46","서울특별시 서대문구 홍제동","156-374","0156","0374","한신위너스","26.1100","21.2500","202512","31","29,000","3","개인","개인","2017","모래내로24나길 6-19","-","중개거래","서울 서대문구","26.02.26"
"47","서울특별시 은평구 녹번동","126-25","0126","0025","(126-25)","28.1300","17.7500","202512","31","31,500","1","개인","개인","1996","녹번로3가길 22","-","중개거래","서울 은평구","26.01.30"
"48","서울특별시 마포구 망원동","459-5","0459","0005","스테이지원망원","29.9600","22.5600","202512","31","65,000","2","개인","개인","2021","동교로1길 38","-","중개거래","서울 마포구","26.03.04"
"49","서울특별시 마포구 서교동","473-10","0473","0010","스위트하우스","29.9500","20.1720","202512","31","29,500","2","개인","개인","2013","동교로13길 60","-","중개거래","서울 마포구","26.01.14"
"50","서울특별시 도봉구 쌍문동","478-26","0478","0026","서경빌라1차","72.2200","39.6000","202512","31","18,000","3","개인","개인","2002","우이천로42길 51","-","중개거래","서울 도봉구","26.02.13"
"51","서울특별시 도봉구 쌍문동","554-11","0554","0011","북한산그랑빌(B동)","68.2200","29.1000","202512","31","25,000","5","개인","개인","2009","도봉로133길 8-37","-","중개거래","서울 강북구","26.03.17"
"52","서울특별시 은평구 대조동","9-24","0009","0024","약수빌라","36.5400","18.2100","202512","31","22,500","4","개인","개인","1993","불광로1길 11","-","중개거래","서울 은평구","26.01.13"
"53","서울특별시 도봉구 방학동","674-24","0674","0024","동일파크빌","84.9500","56.8600","202512","31","42,000","4","개인","개인","2008","도봉로143길 66","-","중개거래","서울 강북구","26.03.16"
"54","서울특별시 도봉구 방학동","664-33","0664","0033","성우아이빌","46.2100","25.6800","202512","31","15,000","2","개인","개인","2002","도당로9길 12","-","중개거래","서울 도봉구","26.02.27"
"55","서울특별시 강동구 성내동","174-23","0174","0023","엘림하우스","16.0300","13.6565","202512","31","24,520","4","개인","개인","2015","천호대로168라길 10","-","중개거래","서울 강동구","26.02.25"
"56","서울특별시 송파구 가락동","181-1","0181","0001","팍스보나빌","51.8000","31.1400","202512","31","45,000","6","개인","개인","2018","동남로20길 48-1","-","중개거래","서울 송파구","26.02.27"
"57","서울특별시 강동구 성내동","174-23","0174","0023","엘림하우스","14.3800","18.2584","202512","31","21,940","3","개인","개인","2015","천호대로168라길 10","-","중개거래","서울 강동구","26.02.25"
"58","서울특별시 강남구 도곡동","948-31","0948","0031","도곡퍼스트빌","24.0600","17.5700","202512","31","42,000","6","개인","개인","2016","도곡로2길 36","-","중개거래","서울 서초구","26.02.27"
"59","서울특별시 강동구 성내동","174-23","0174","0023","엘림하우스","14.4000","12.2679","202512","31","22,000","5","개인","개인","2015","천호대로168라길 10","-","중개거래","서울 강동구","26.02.25"
"60","서울특별시 관악구 신림동","1627-13","1627","0013","운서노블하우스","37.4400","26.7000","202512","31","34,500","5","개인","개인","2014","문성로 208","-","중개거래","서울 관악구","26.04.20"
"61","서울특별시 송파구 석촌동","243-15","0243","0015","석촌쉐르빌(243-15)","59.1900","27.1000","202512","31","54,000","2","개인","개인","2002","가락로5길 13","-","중개거래","서울 송파구","26.03.09"
"62","서울특별시 송파구 방이동","145-9","0145","0009","그랑시아","22.8900","18.9580","202512","31","31,000","4","개인","개인","2018","오금로21길 30","-","중개거래","서울 송파구","26.02.06"
"63","서울특별시 강동구 천호동","363-24","0363","0024","현영쉬크빌(363-24)","62.2900","33.7900","202512","31","51,500","2","개인","개인","2003","천중로16길 24","-","중개거래","서울 강동구","26.02.12"
"64","서울특별시 송파구 석촌동","161-2","0161","0002","청호센트레빌","41.6700","20.9400","202512","31","36,000","2","개인","개인","2002","송파대로47길 15","-","중개거래","서울 송파구","26.03.12"
"65","서울특별시 송파구 거여동","21-14","0021","0014","로즈마리","29.9000","11.0600","202512","31","39,600","6","개인","개인","2019","오금로59길 3-17","-","중개거래","서울 송파구","26.02.13"
"66","서울특별시 관악구 신림동","1627-30","1627","0030","골드로스빌","30.9000","25.2238","202512","31","32,000","2","개인","개인","2013","문성로26길 7-9","-","중개거래","서울 관악구","26.03.18"
"67","서울특별시 서초구 서초동","1507-58","1507","0058","(1507-58)","73.4400","36.0750","202512","31","105,000","3","개인","개인","2005","명달로22길 21","-","중개거래","서울 서초구","26.01.30"
"68","서울특별시 서초구 서초동","1487-14","1487","0014","서광주택","57.2400","31.8900","202512","31","65,000","3","개인","개인","1994","명달로8길 25-21","20260114","중개거래","서울 서초구","-"
"69","서울특별시 서초구 반포동","719-13","0719","0013","릴리캐슬","29.8400","19.8400","202512","31","80,000","3","개인","개인","2023","주흥길 54-4","-","중개거래","서울 서초구","26.02.10"
"70","서울특별시 강동구 암사동","489-62","0489","0062","암사팰리스","29.4500","19.8400","202512","31","36,500","3","개인","개인","2019","상암로23길 7-11","-","중개거래","서울 강동구","26.02.19"
"71","서울특별시 관악구 신림동","98-357","0098","0357","천년캐슬(98-357)","19.0100","16.5400","202512","31","23,000","3","개인","개인","2017","서림1길 57","-","중개거래","서울 관악구, 서울 서초구","26.02.02"
"72","서울특별시 강동구 둔촌동","614-2","0614","0002","리라아트빌라","50.4300","40.5900","202512","31","39,800","-1","개인","개인","1992","동남로49길 46-22","-","중개거래","서울 강동구","26.02.26"
"73","서울특별시 강동구 길동","404-3","0404","0003","정일빌라(1동)","66.4900","36.4778","202512","31","38,000","3","개인","개인","1992","양재대로112길 66","-","중개거래","서울 강동구","26.04.30"
"74","서울특별시 강남구 일원동","676-4","0676","0004","매종래재","28.8500","26.5000","202512","31","70,500","1","개인","법인","2023","양재대로37길 23","-","직거래","-","-"
"75","서울특별시 강남구 개포동","1182-2","1182","0002","청광아트빌라","36.2500","16.6500","202512","31","49,000","1","개인","개인","1996","논현로8길 66-5","-","중개거래","서울 강남구","26.04.01"
"76","서울특별시 송파구 마천동","566-1","0566","0001","광성빌라(가,나동)","57.7400","26.7300","202512","31","88,000","-1","개인","개인","1994","감이남로 15","-","중개거래","서울 송파구","26.04.24"
"77","서울특별시 강동구 천호동","134-1","0134","0001","리코하이빌","57.4200","37.4100","202512","31","62,000","3","개인","개인","2017","천중로31길 5","-","중개거래","서울 성동구","26.04.01"
"78","서울특별시 서초구 양재동","300-4","0300","0004","양재동300-4공동주택(조재순)","35.6200","23.6000","202512","31","69,000","5","개인","개인","2023","동산로19길 19","-","중개거래","서울 송파구","26.02.26"
"79","서울특별시 강남구 논현동","35-17","0035","0017","폴라씨엘로","103.0500","60.9900","202512","31","180,000","3","개인","개인","2017","도산대로26길 52","-","중개거래","서울 강남구","26.02.27"
"80","서울특별시 송파구 방이동","192-5","0192","0005","인택스빌4차","75.5500","25.6450","202512","31","54,000","2","개인","개인","2002","위례성대로14길 3","-","중개거래","서울 송파구","26.02.10"
"81","서울특별시 송파구 삼전동","123-7","0123","0007","예은빌라(123-7)","31.8200","14.0800","202512","31","23,000","3","법인","개인","1993","삼전로10길 62","-","직거래","-","25.12.31"
"82","서울특별시 강남구 논현동","174-4","0174","0004","174-4","16.8225","13.5000","202512","31","25,000","4","개인","개인","2016","논현로117길 16","-","중개거래","서울 강남구","26.01.29"
"83","서울특별시 송파구 석촌동","219-1","0219","0001","욱빈힐타움","27.4400","17.3200","202512","31","41,000","5","개인","개인","2018","삼학사로6길 8-1","-","중개거래","서울 서대문구, 서울 송파구","26.02.03"
"84","서울특별시 강남구 역삼동","766-7","0766","0007","예원하이빌","57.6750","33.4740","202512","31","78,700","5","개인","개인","2000","도곡로57길 9-9","-","중개거래","서울 강남구","26.03.31"
"85","서울특별시 강동구 성내동","245-27","0245","0027","더다온245","40.6900","25.0000","202512","31","55,000","4","개인","개인","2021","천호대로176길 10-13","-","중개거래","서울 강동구","26.03.05"
"86","서울특별시 동작구 신대방동","600-99","0600","0099","(600-99)","29.4800","18.1700","202512","31","34,000","5","개인","개인","2011","신대방14길 15-5","-","중개거래","서울 동작구","26.01.28"
"87","서울특별시 동작구 상도동","264-78","0264","0078","오성빌라트","55.5900","34.1000","202512","31","69,000","1","개인","개인","1996","성대로11가길 17-3","-","중개거래","서울 동작구","26.03.03"
"88","서울특별시 동작구 상도동","299-142","0299","0142","반석주택(299-142)","72.6000","35.1200","202512","31","49,300","2","개인","개인","1995","국사봉10길 23","-","중개거래","서울 동작구","26.02.27"
"89","서울특별시 양천구 목동","523-17","0523","0017","세교예지안3차","35.0600","28.2800","202512","31","59,000","3","개인","개인","2015","목동중앙북로22길 14-11","-","중개거래","서울 양천구","25.12.31"
"90","서울특별시 양천구 목동","734-9","0734","0009","미주홈타운(734-9)","24.2400","12.6600","202512","31","12,000","1","개인","개인","2007","목동중앙남로3가길 8-20","-","직거래","-","26.01.15"
"91","서울특별시 강서구 화곡동","882-6","0882","0006","자라하우스","41.1000","22.1600","202512","31","29,500","3","개인","개인","2013","강서로5라길 77","-","중개거래","인천 서구","26.01.30"
"92","서울특별시 금천구 독산동","1037-9","1037","0009","행복타운5차","79.5400","43.0800","202512","31","36,800","2","개인","개인","2006","독산로69길 24","-","중개거래","서울 금천구","26.03.17"
"93","서울특별시 금천구 독산동","972-45","0972","0045","명성빌","29.6600","20.9000","202512","31","26,000","4","개인","개인","2018","시흥대로148길 68-8","-","직거래","-","26.01.12"
"94","서울특별시 양천구 목동","324-137","0324","0137","목동한울펠리스","41.5500","24.8400","202512","31","38,000","4","개인","개인","2016","목동중앙남로16가길 8-8","-","중개거래","서울 양천구","26.01.19"
"95","서울특별시 강서구 화곡동","791-14","0791","0014","이호빌","33.1600","19.5300","202512","31","29,500","3","개인","개인","2012","강서로8길 206","-","중개거래","서울 강서구","26.01.27"
"96","서울특별시 영등포구 신길동","124-9","0124","0009","신길리움","38.9200","25.5800","202512","31","42,500","5","개인","개인","2019","도신로62길 34","-","중개거래","서울 영등포구","26.04.16"
"97","서울특별시 영등포구 신길동","32-11","0032","0011","파라다이스빌(32-11)","39.9400","19.2000","202512","31","76,000","4","개인","개인","2003","영등포로60길 21","-","중개거래","경기 광명시, 서울 영등포구","26.03.30"
"98","서울특별시 관악구 봉천동","457-162","0457","0162","현파크빌","79.4300","46.3200","202512","31","35,000","3","개인","개인","2004","중앙길 89-5","-","중개거래","서울 관악구","26.01.02"
"99","서울특별시 양천구 신월동","201-2","0201","0002","한린주택","39.8900","20.2900","202512","31","8,500","-1","개인","개인","1992","남부순환로60길 23","-","직거래","-","25.12.31"
"100","서울특별시 양천구 신월동","107-19","0107","0019","신성주택","60.5400","29.0200","202512","31","22,800","1","개인","개인","2001","곰달래로11길 43-2","-","중개거래","서울 양천구","26.03.03"
"101","서울특별시 관악구 봉천동","41-33","0041","0033","성지빌라3차","29.4600","19.4300","202512","31","25,000","3","개인","법인","1991","은천로35길 40-7","-","중개거래","서울 관악구","26.02.27"
"102","서울특별시 영등포구 대림동","786-20","0786","0020","금강빌라20동","49.3700","36.9000","202512","31","38,000","2","개인","개인","1987","대림로41길 14-14","20260306","직거래","-","-"
"103","서울특별시 영등포구 대림동","877-41","0877","0041","대광빌라(877-41)","36.1300","22.3200","202512","31","25,000","3","개인","개인","2002","디지털로64가길 3","-","중개거래","서울 영등포구","26.01.23"
"104","서울특별시 영등포구 당산동1가","412","0412","0000","선샤인팰리스","29.2300","12.3900","202512","31","39,500","7","개인","법인","2022","당산로16길 9-8","-","중개거래","서울 영등포구","26.01.23"
"105","서울특별시 동작구 대방동","393-29","0393","0029","현대테크빌B동","74.6400","48.5900","202512","31","80,250","4","개인","개인","2002","대방동2길 14-1","-","중개거래","서울 동작구","26.03.31"
"106","서울특별시 구로구 온수동","44-1","0044","0001","동진빌라","36.9900","46.0000","202512","31","51,000","2","개인","개인","1988","경인로 31-9","-","중개거래","서울 구로구","26.02.09"
"107","서울특별시 동작구 사당동","1050-15","1050","0015","어반팰리스사당","28.4500","18.4700","202512","31","45,500","2","개인","법인","2024","남부순환로259가길 27","-","중개거래","서울 강남구","26.01.30"
"108","서울특별시 강서구 화곡동","965-17","0965","0017","조양시티빌","51.2200","25.7520","202512","31","18,500","4","개인","개인","2008","까치산로18나길 22-4","-","중개거래","서울 강서구","26.02.27"
"109","서울특별시 강서구 화곡동","1046-4","1046","0004","파랑새빌라트","59.7000","25.3800","202512","31","38,200","3","개인","개인","2001","화곡로15길 48","-","중개거래","서울 강서구","26.03.20"
"110","서울특별시 동작구 상도동","301-35","0301","0035","미소가20차","42.7300","26.1208","202512","31","30,000","5","개인","개인","2016","국사봉10길 57","-","직거래","-","26.01.02"
"111","서울특별시 영등포구 당산동1가","412","0412","0000","선샤인팰리스","29.2300","12.3900","202512","31","39,500","7","개인","법인","2022","당산로16길 9-8","-","중개거래","서울 영등포구","26.01.23"
"112","서울특별시 영등포구 당산동","121-157","0121","0157","승리빌라(121-157)","30.3300","18.5200","202512","31","14,250","1","개인","개인","1994","버드나루로14가길 9-1","-","중개거래","서울 영등포구","26.01.30"
"113","서울특별시 양천구 신월동","963-4","0963","0004","효성빌라","47.5900","21.6600","202512","31","9,000","-1","개인","개인","1995","지양로16길 46-17","-","직거래","-","26.01.09"
"114","서울특별시 구로구 가리봉동","118-19","0118","0019","퍼스트빌","29.9800","24.2100","202512","31","41,500","2","개인","개인","2018","우마1가길 13-14","-","중개거래","서울 구로구","26.01.16"
"115","서울특별시 양천구 목동","781-5","0781","0005","건향파크빌","37.7500","17.0590","202512","31","57,500","5","개인","개인","2018","목동중앙남로3길 47","-","중개거래","서울 구로구, 서울 양천구","26.02.20"
"116","서울특별시 동작구 상도1동","694","0694","0000","명성하늘채","55.0000","28.8390","202512","31","65,000","3","개인","개인","2023","상도로 265-23","-","중개거래","서울 동작구","26.02.25"
"117","서울특별시 동작구 상도동","211-436","0211","0436","종인아네스트(211-436)","43.2400","25.6900","202512","31","42,000","3","개인","개인","2012","양녕로30길 11-10","-","중개거래","서울 동작구","26.03.31"
"118","서울특별시 동작구 상도동","159-51","0159","0051","현대빌리지(1동)","50.5700","26.0300","202512","31","33,500","2","개인","개인","1991","상도로38길 42","-","중개거래","서울 동작구","26.03.09"
"119","서울특별시 구로구 고척동","349","0349","0000","명품하이츠빌","51.0800","31.7320","202512","31","36,800","5","개인","개인","2016","경서로11길 46","-","중개거래","서울 구로구, 서울 양천구","26.02.23"
"120","서울특별시 구로구 오류동","68-21","0068","0021","미래빌라","37.6500","42.2900","202512","30","28,970","3","법인","개인","1989","서해안로 2313-10","-","직거래","-","26.04.17"
"121","서울특별시 양천구 목동","29-47","0029","0047","럭키빌라5동","45.6200","33.0000","202512","30","9,200","-1","개인","개인","1993","목동중앙북로8길 128-13","-","중개거래","서울 양천구","26.04.28"
"122","서울특별시 강서구 방화동","256-2","0256","0002","마곡누리","19.1100","7.8336","202512","30","35,000","13","개인","개인","2022","방화대로 333","-","직거래","-","26.03.06"
"123","서울특별시 강서구 방화동","280-1","0280","0001","마곡라테라스","28.9300","15.8700","202512","30","25,000","7","개인","개인","2018","양천로22길 20","-","중개거래","서울 강서구","-"
"124","서울특별시 강서구 화곡동","1115-14","1115","0014","세양주택가동","37.1400","29.6500","202512","30","10,000","1","개인","개인","1986","화곡로60길 34","-","중개거래","서울 강서구","26.01.08"
"125","서울특별시 강서구 화곡동","161-30","0161","0030","건영With","49.7300","35.9400","202512","30","25,500","1","개인","법인","2022","곰달래로35길 85","-","직거래","-","26.02.25"
"126","서울특별시 강서구 화곡동","366-64","0366","0064","블루스카이빌(366)","29.7200","19.1900","202512","30","22,000","4","개인","개인","2015","월정로30길 82","-","중개거래","서울 강서구","26.03.03"
"127","서울특별시 강서구 화곡동","56-555","0056","0555","화성홈타운104동","42.6900","24.6800","202512","30","15,200","3","개인","개인","2002","초록마을로10길 42","-","중개거래","서울 강서구","26.02.26"
"128","서울특별시 금천구 시흥동","908-12","0908","0012","드림파크빌","54.9700","35.9700","202512","30","36,000","3","개인","개인","2022","독산로 44-11","-","직거래","-","26.04.01"
"129","서울특별시 구로구 궁동","292","0292","0000","로제트힐","51.2700","46.0340","202512","30","29,900","2","개인","개인","2016","부일로19길 50-10","-","중개거래","서울 영등포구","26.02.05"
"130","서울특별시 영등포구 당산동4가","32-55","0032","0055","(32-55)","29.0700","15.4200","202512","30","24,700","5","개인","개인","2018","당산로38길 3-1","-","중개거래","서울 영등포구","26.01.30"
"131","서울특별시 영등포구 영등포동6가","97","0097","0000","골든빌","29.2200","16.1000","202512","30","31,500","4","개인","개인","2018","영신로38길 5-1","-","중개거래","서울 영등포구","26.01.08"
"132","서울특별시 구로구 가리봉동","96-2","0096","0002","중앙하이츠빌(가동)","70.5600","38.9400","202512","30","44,000","5","개인","개인","2003","구로동로2가길 8","-","중개거래","서울 구로구","26.03.30"
"133","서울특별시 양천구 목동","499-19","0499","0019","DH프라임(499-19)","28.0500","18.1000","202512","30","31,000","4","개인","개인","2016","목동중앙본로29길 26-21","-","중개거래","서울 양천구","26.02.19"
